HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385222,01/01/1997 00:00:00,06/30/2015 00:00:00,60,,
385222,07/01/2015 00:00:00,12/31/2999 00:00:00,2885,Admin,2015-07-01 00:00:00.000000
385223,02/02/1994 00:00:00,10/09/2000 00:00:00,60,,
385223,10/10/2000 00:00:00,12/18/2003 00:00:00,39,carolyn,2000-10-10 00:00:00.000000
385224,12/06/1993 00:00:00,06/30/1997 00:00:00,378,,
385224,07/01/1997 00:00:00,12/31/2999 00:00:00,98,,
385225,11/12/1993 00:00:00,08/31/2014 00:00:00,99,,
385225,09/01/2014 00:00:00,12/31/2999 00:00:00,2751,Admin,2014-09-02 00:00:00.000000
385228,11/16/1993 00:00:00,12/31/1997 00:00:00,101,,
385228,01/01/1998 00:00:00,12/31/2999 00:00:00,100,,
385229,11/17/1993 00:00:00,08/31/1997 00:00:00,103,,
385229,09/01/1997 00:00:00,05/01/2007 00:00:00,102,,
385229,05/02/2007 00:00:00,12/31/2999 00:00:00,1736,Admin,2007-06-11 00:00:00.000000
385230,11/02/1993 00:00:00,12/31/1998 00:00:00,375,,
385230,01/01/1999 00:00:00,05/01/2004 00:00:00,33,,
385230,05/02/2004 00:00:00,03/31/2010 00:00:00,16,Brett,2004-04-30 00:00:00.000000
385230,04/01/2010 00:00:00,12/31/2999 00:00:00,2081,Admin,2010-04-15 00:00:00.000000
385231,11/02/1994 00:00:00,04/06/2000 00:00:00,104,,
385232,12/16/1993 00:00:00,08/31/1996 00:00:00,105,,
385232,09/01/1996 00:00:00,03/31/2010 00:00:00,16,,
385232,04/01/2010 00:00:00,12/31/2999 00:00:00,2082,Admin,2010-04-19 00:00:00.000000
385233,11/18/1993 00:00:00,03/16/2005 00:00:00,106,,
385233,03/17/2005 00:00:00,12/31/2999 00:00:00,1380,Admin,2005-03-16 00:00:00.000000
385234,11/22/1993 00:00:00,05/01/2007 00:00:00,107,,
385234,05/02/2007 00:00:00,12/31/2999 00:00:00,1735,Admin,2007-06-11 00:00:00.000000
385236,12/06/1993 00:00:00,08/31/2011 00:00:00,108,,
385236,09/01/2011 00:00:00,04/30/2015 00:00:00,2268,Admin,2011-09-01 00:00:00.000000
385236,05/01/2015 00:00:00,12/31/2999 00:00:00,2866,Admin,2015-04-29 00:00:00.000000
385237,12/17/1993 00:00:00,01/31/2000 00:00:00,109,,
